  insmod-12410   0d...  6164.583085: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583086: funcgraph_entry:        0.261 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583089: funcgraph_exit:         2.239 us   |                                              }
  insmod-12410   0d...  6164.583090: funcgraph_entry:        0.209 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583091: funcgraph_exit:         6.094 us   |                                            }
  insmod-12410   0d...  6164.583092: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583093: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583094: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583096: funcgraph_exit:         2.240 us   |                                              }
  insmod-12410   0d...  6164.583097: funcgraph_entry:        0.208 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583099: funcgraph_exit:         6.041 us   |                                            }
  insmod-12410   0d...  6164.583100: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583101: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583102: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583104: funcgraph_exit:         2.292 us   |                                              }
  insmod-12410   0d...  6164.583105: funcgraph_entry:        0.261 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583107: funcgraph_exit:         6.042 us   |                                            }
  insmod-12410   0d...  6164.583108: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583109: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583110: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583112: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583113: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583114: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583116: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583118: funcgraph_exit:         4.115 us   |                                                  }
  insmod-12410   0d...  6164.583119: funcgraph_exit:         6.250 us   |                                                }
  insmod-12410   0d...  6164.583120: funcgraph_entry:        0.261 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583122: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583123: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583124: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583126: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583128: funcgraph_exit:         4.063 us   |                                                  }
  insmod-12410   0d...  6164.583129: funcgraph_exit:         5.885 us   |                                                }
  insmod-12410   0d...  6164.583130: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583132: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583133: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583134: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583136: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583138: funcgraph_exit:         4.114 us   |                                                  }
  insmod-12410   0d...  6164.583139: funcgraph_exit:         6.094 us   |                                                }
  insmod-12410   0d...  6164.583140: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583142: funcgraph_exit:       + 31.979 us  |                                              }
  insmod-12410   0d...  6164.583143: funcgraph_entry:        0.261 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583145: funcgraph_exit:       + 35.885 us  |                                            }
  insmod-12410   0d...  6164.583146: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583147: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583148: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583149: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583150: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583151: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583153: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583155: funcgraph_exit:         4.062 us   |                                                  }
  insmod-12410   0d...  6164.583156: funcgraph_exit:         6.094 us   |                                                }
  insmod-12410   0d...  6164.583157: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583159: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583160: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583161: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583163: funcgraph_entry:        0.261 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583165: funcgraph_exit:         4.115 us   |                                                  }
  insmod-12410   0d...  6164.583166: funcgraph_exit:         6.042 us   |                                                }
  insmod-12410   0d...  6164.583167: funcgraph_entry:        0.313 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583169: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583170: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583171: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583173: funcgraph_entry:        0.260 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583175: funcgraph_exit:         4.114 us   |                                                  }
  insmod-12410   0d...  6164.583176: funcgraph_exit:         5.938 us   |                                                }
  insmod-12410   0d...  6164.583177: funcgraph_entry:        0.416 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583179: funcgraph_entry:                   |                                                __timer_const_udelay() {
  insmod-12410   0d...  6164.583180: funcgraph_entry:                   |                                                  __timer_delay() {
  insmod-12410   0d...  6164.583181: funcgraph_entry:        0.209 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583183: funcgraph_entry:        0.208 us   |                                                    arch_timer_read_counter_long();
  insmod-12410   0d...  6164.583185: funcgraph_exit:         4.114 us   |                                                  }
  insmod-12410   0d...  6164.583186: funcgraph_exit:         6.042 us   |                                                }
  insmod-12410   0d...  6164.583187: funcgraph_entry:        0.260 us   |                                                mem_serial_in();
